2026-02-18T13:58:13.427Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'PortMappingCommunication' triggered at '18-Feb-26 1:58:13 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 1:58:43 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:58:13.428Z | INFO  | APP | Port forwarding status changed from 'SleepingUntilRefresh' to 'PortMappingCommunication'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T13:58:13.520Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:58:13 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 1:59:13 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:58:13.520Z | INFO  | APP | Port forwarding status changed from 'PortMappingCommunication' to 'SleepingUntilRefresh'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T13:58:19.774Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:58:13 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 1:59:13 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:58:29.772Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:58:13 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 1:59:13 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:58:39.762Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:58:13 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 1:59:13 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:58:43.527Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'PortMappingCommunication' triggered at '18-Feb-26 1:58:43 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 1:59:13 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:58:43.527Z | INFO  | APP | Port forwarding status changed from 'SleepingUntilRefresh' to 'PortMappingCommunication'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T13:58:43.630Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:58:43 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 1:59:43 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:58:43.630Z | INFO  | APP | Port forwarding status changed from 'PortMappingCommunication' to 'SleepingUntilRefresh'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T13:58:49.774Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:58:43 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 1:59:43 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:58:59.763Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:58:43 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 1:59:43 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:59:09.771Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:58:43 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 1:59:43 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:59:13.643Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'PortMappingCommunication' triggered at '18-Feb-26 1:59:13 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 1:59:43 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:59:13.643Z | INFO  | APP | Port forwarding status changed from 'SleepingUntilRefresh' to 'PortMappingCommunication'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T13:59:13.736Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:59:13 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:00:13 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:59:13.736Z | INFO  | APP | Port forwarding status changed from 'PortMappingCommunication' to 'SleepingUntilRefresh'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T13:59:19.775Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:59:13 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:00:13 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:59:29.764Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:59:13 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:00:13 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:59:39.773Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:59:13 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:00:13 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:59:43.743Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'PortMappingCommunication' triggered at '18-Feb-26 1:59:43 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:00:13 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:59:43.743Z | INFO  | APP | Port forwarding status changed from 'SleepingUntilRefresh' to 'PortMappingCommunication'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T13:59:43.837Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:59:43 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:00:43 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:59:43.837Z | INFO  | APP | Port forwarding status changed from 'PortMappingCommunication' to 'SleepingUntilRefresh'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T13:59:49.775Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:59:43 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:00:43 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
